train_loss,val_loss,train_acc,val_acc
3.0343536656835806,1.5732829332351685,23.333333333333332,54.285714285714285
1.3589079742846282,0.7592472553253173,60.54421768707483,76.82539682539682
0.8137609258941982,0.43254733085632324,75.85034013605443,86.03174603174604
0.5353174157764601,0.2905756741762161,84.421768707483,90.15873015873017
0.4095956035282301,0.20362791717052459,88.2312925170068,93.01587301587301
0.3358502595320992,0.16610147207975387,89.8639455782313,94.28571428571429
0.27672541271085327,0.13754141926765442,91.22448979591837,97.14285714285714
0.2353339758904084,0.12181824594736099,93.5374149659864,97.14285714285714
0.18330155766528586,0.10477688610553741,94.96598639455782,97.14285714285714
0.21766786827989246,0.10441021472215653,93.5374149659864,97.14285714285714
0.18071381974479425,0.10399342700839043,94.82993197278911,97.14285714285714
0.1496152377322964,0.08252614289522171,95.78231292517007,96.82539682539682
0.18149552850619607,0.07195929735898972,94.76190476190476,97.77777777777777
0.1436827218402987,0.06593210250139236,95.64625850340136,97.77777777777777
0.12473593781823697,0.059851982071995734,96.05442176870748,98.0952380952381
0.1205296691345132,0.060273540392518046,96.12244897959184,97.77777777777777
0.11567534004216609,0.06283984966576099,96.39455782312925,97.46031746031746
0.08776111099059167,0.055272453278303144,97.68707482993197,98.0952380952381
0.12823650710608647,0.060494518652558324,96.3265306122449,97.14285714285714
0.11251079809406529,0.04789070598781109,96.66666666666667,98.41269841269842
