train_loss,val_loss,train_acc,val_acc
3.2508686003477676,3.1389047145843505,6.462585034013605,5.396825396825397
3.128902995068094,3.374385118484497,7.959183673469388,9.523809523809524
3.0180510127026103,3.530323886871338,10.612244897959183,14.285714285714286
2.9287208888841714,3.588140058517456,12.517006802721088,19.365079365079364
2.9580702781677246,3.3923357009887694,14.081632653061224,19.365079365079364
2.8535402339437734,3.124510383605957,15.238095238095237,23.80952380952381
2.7887770507646645,3.1095744609832763,17.346938775510203,24.126984126984127
2.7604537839474887,2.829173374176025,17.82312925170068,26.349206349206348
2.713543062624724,2.723874807357788,17.61904761904762,26.03174603174603
2.664263860039089,3.224019479751587,20.20408163265306,26.984126984126984
2.572455768999846,2.9610509395599367,22.448979591836736,27.3015873015873
2.54817883864693,2.7856374740600587,23.12925170068027,30.793650793650794
2.530022279075954,3.138583469390869,24.761904761904763,30.793650793650794
2.4937248022659966,2.7446330070495604,22.857142857142858,29.841269841269842
2.469260195027227,3.017299485206604,24.489795918367346,31.746031746031747
2.4189572748930557,2.767416834831238,25.714285714285715,31.746031746031747
2.4222735633020815,2.3953694343566894,25.238095238095237,30.476190476190474
2.3142486033232315,2.765187382698059,28.979591836734695,34.285714285714285
2.3555292875870415,2.658330202102661,26.93877551020408,35.87301587301587
2.282626141672549,2.1485822200775146,28.503401360544217,38.41269841269841
